warehouse_id,city,capacity,current_load
WH-001,New York,5000,3200
WH-002,Chicago,4000,2100
WH-003,Los Angeles,6000,4500
WH-004,Houston,3500,1800
WH-005,Phoenix,2500,900
WH-006,Philadelphia,3000,2750
WH-007,San Antonio,2000,1100
WH-008,Seattle,4500,3000
WH-009,Miami,5500,4100
WH-010,Denver,3800,2200
WH-011,Atlanta,4200,3600
WH-012,Boston,3200,1900
WH-013,Dallas,4800,3700
WH-014,Minneapolis,2800,1500
WH-015,San Francisco,5200,4800
WH-016,Nashville,2600,1200
WH-017,Tampa,3100,2400
WH-018,Portland,2900,1700
WH-019,Charlotte,3400,2600
WH-020,Detroit,3600,2900
